zip,donations,total,NAME,variable,estimate,moe,donations_per_1000
21628,76,1665.3, 21628,zip,531,290,143.1261770244821
21629,702,26028.75999999993, 21629,zip,9726,419,72.17766810610735
21631,106,2140.9599999999996, 21631,zip,2694,395,39.346696362286565
21632,385,8560.209999999992, 21632,zip,6065,450,63.47897774113767
21634,12,660.53, 21634,zip,200,76,60
21635,909,25782.629999999972, 21635,zip,1912,240,475.418410041841
21636,140,3741.630000000001, 21636,zip,1147,300,122.05754141238012
21638,688,24723.95999999996, 21638,zip,5210,373,132.05374280230325
21639,299,4298.609999999999, 21639,zip,4639,516,64.45354602284975
21640,21,870.59, 21640,zip,1440,291,14.583333333333334
21643,129,3421.1600000000003, 21643,zip,6015,490,21.44638403990025
21644,21,1489.06, 21644,zip,77,44,272.7272727272727
21645,799,16686.719999999976, 21645,zip,1418,342,563.4696755994358
21647,2,1046.02, 21647,zip,217,82,9.216589861751151
21648,6,292.18000000000006, 21648,zip,256,92,23.4375
21649,11,251.31, 21649,zip,2131,415,5.161895823557016
21650,36,743.2800000000001, 21650,zip,290,149,124.13793103448276
21651,114,4187.79, 21651,zip,2735,389,41.681901279707496
21652,6,186.33, 21652,zip,138,64,43.47826086956522
21653,5,115.48, 21653,zip,108,57,46.29629629629629
21654,475,35940.680000000015, 21654,zip,960,154,494.7916666666667
21655,911,15795.929999999988, 21655,zip,4966,357,183.44744260974628
21657,81,4380.89, 21657,zip,853,177,94.95896834701055
21658,1085,46045.019999999975, 21658,zip,3840,393,282.5520833333333
21659,3060,58483.720000000016, 21659,zip,1355,341,2258.3025830258302
21660,318,8391.409999999993, 21660,zip,3881,307,81.93764493687195
21661,1483,30077.569999999967, 21661,zip,2502,252,592.7258193445244
21662,168,15801.980000000009, 21662,zip,455,92,369.2307692307692
21663,1221,42010.009999999944, 21663,zip,3356,298,363.82598331346844
21664,12,606.3299999999999, 21664,zip,439,114,27.33485193621868
21665,55,6186.34, 21665,zip,263,114,209.12547528517112
21666,2612,85565.16000000027, 21666,zip,12363,617,211.27558036075385
21667,5,207, 21667,zip,235,132,21.27659574468085
21668,399,6508.429999999995, 21668,zip,1815,252,219.83471074380165
21669,15,1276.6999999999998, 21669,zip,231,120,64.93506493506493
21671,57,2785.99, 21671,zip,799,172,71.33917396745933
21672,2,46.05, 21672,zip,139,69,14.388489208633095
21673,188,8611.570000000002, 21673,zip,3423,290,54.92258252994449
21675,1,25, 21675,zip,108,71,9.25925925925926
21676,21,710.0500000000001, 21676,zip,490,157,42.857142857142854
